iter	Passed	Remaining
722	416929	275069
723	417525	274505
724	418079	273914
725	418660	273340
726	419266	272782
727	419860	272217
728	420477	271666
729	421072	271101
730	421672	270539
731	422240	269957
732	422801	269370
733	423376	268792
734	423936	268204
735	424502	267621
736	425086	267048
737	425708	266500
738	426257	265906
739	426759	265283
740	427357	264719
741	427978	264169
742	428630	263639
743	429253	263090
744	429888	262549
745	430488	261986
746	431083	261420
747	431715	260876
748	432352	260335
749	432949	259769
750	433608	259241
751	434203	258674
752	434800	258108
753	435381	257533
754	435978	256967
755	436547	256384
756	437058	255768
757	437608	255175
758	438229	254623
759	438840	254065
760	439490	253529
761	440056	252946
762	440611	252355
763	441209	251789
764	441794	251216
765	442339	250620
766	442946	250059
767	443513	249476
768	444104	248906
769	444682	248328
770	445280	247762
771	445895	247206
772	446457	246620
773	447036	246043
774	447617	245467
775	448191	244888
776	448760	244305
777	449359	243739
778	449930	243158
779	450428	242538
780	451009	241962
781	451506	241342
782	452125	240787
783	452721	240219
784	453328	239657
785	453915	239085
786	454548	238536
787	455107	237949
788	455694	237377
789	456270	236798
790	456827	236210
791	457348	235603
792	457872	234998
793	458445	234419
794	459058	233860
795	459633	233281
796	460203	232699
797	460734	232099
798	461337	231534
799	461934	230967
800	462523	230395
801	463103	229819
802	463671	229237
803	464239	228655
804	464795	228067
805	465407	227507
806	465989	226931
807	466559	226350
808	467142	225775
809	467714	225196
810	468310	224627
811	468883	224047
812	469486	223482
813	470097	222921
814	470695	222353
815	471258	221768
816	471761	221156
817	472336	220577
818	472918	220002
819	473487	219421
820	474060	218841
821	474628	218259
822	475196	217678
823	475791	217108
824	476444	216565
825	477037	215995
826	477611	215416
827	478182	214835
828	478771	214263
829	479335	213679
830	479931	213110
831	480497	212527
832	481055	211941
833	481631	211363
834	482188	210776
835	482740	210188
836	483326	209614
837	483914	209041
838	484493	208464
839	485106	207902
840	485733	207346
841	486312	206769
842	486913	206201
843	487419	205593
844	487996	205016
845	488559	204432
846	489144	203858
847	489772	203301
848	490357	202727
849	490958	202159
850	491512	201572
851	492113	201003
852	492703	200431
853	493272	199850
854	493863	199278
855	494430	198696
856	494998	198114
857	495568	197534
858	496164	196963
859	496717	196376
860	497291	195797
861	497883	195225
862	498481	194656
863	499006	194058
864	499617	193493
865	500186	192912
866	500746	192328
867	501328	191752
868	501889	191168
869	502462	190589
870	503028	190007
871	503590	189423
872	504149	188839
873	504716	188257
874	505301	187683
875	505781	187069
876	506350	186489
877	506942	185917
878	507517	185339
879	508087	184759
880	508681	184187
881	509286	183620
882	509852	183038
883	510479	182479
884	511038	181894
885	511639	181326
886	512192	180739
887	512775	180164
888	513351	179586
889	513873	178989
890	514442	178409
891	514986	177820
892	515577	177247
893	516111	176655
894	516674	176073
895	517210	175482
896	517919	174949
897	518502	174373
898	519096	173802
899	519701	173233
900	520264	172651
901	520976	172118
902	521575	171547
903	522155	170971
904	522757	170401
905	523368	169834
906	523880	169235
907	524419	168645
908	524970	168059
909	525559	167485
910	526189	166924
911	526809	166360
912	527458	165805
913	528016	165221
914	528608	164648
915	529264	164095
916	529888	163531
917	530451	162949
918	531029	162371
919	531596	161790
920	532111	161193
921	532779	160642
922	533375	160070
923	533935	159487
924	534504	158906
925	535062	158323
926	535640	157745
927	536212	157165
928	536768	156581
929	537341	156002
930	537889	155416
931	538481	154842
932	539064	154266
933	539646	153689
934	540132	153085
935	540631	152485
936	541204	151907
937	541784	151330
938	542266	150725
939	542907	150165
940	543493	149590
941	544120	149026
942	544721	148455
943	545315	147882
944	545848	147292
945	546357	146696
946	546967	146127
947	547496	145537
948	548135	144975
949	548733	144403
950	549334	143832
951	549930	143259
952	550499	142679
953	551083	142103
954	551722	141541
955	552281	140958
956	552868	140383
957	553479	139814
958	554054	139235
959	554628	138657
960	555170	138070
961	555738	137490
962	556301	136909
963	556895	136335
964	557519	135769
965	558167	135208
966	558769	134636
967	559357	134060
968	559959	133488
969	560557	132915
970	561180	132348
971	561743	131767
972	562319	131188
973	562937	130620
974	563533	130046
975	564108	129467
976	564672	128886
977	565259	128310
978	565742	127710
979	566306	127130
980	566869	126548
981	567449	125971
982	568024	125392
983	568602	124815
984	569179	124237
985	569766	123661
986	570346	123083
987	570910	122503
988	571494	121926
989	572068	121347
990	572703	120781
991	573272	120202
992	573851	119624
993	574456	119052
994	575015	118470
995	575606	117895
996	576176	117315
997	576729	116732
998	577340	116161
999	577896	115579
1000	578490	115004
1001	579112	114435
1002	579710	113861
1003	580123	113251
1004	580718	112676
1005	581260	112091
1006	581895	111525
1007	582492	110950
1008	583112	110381
1009	583685	109802
1010	584326	109236
1011	584850	108648
1012	585433	108071
1013	586000	107491
